Title;ID;Description;Date;Hour;Class;Price;Categoria;Modelo;Marca;Tipo de veículo;Ano;Quilometragem;Potência do motor;Combustível;Câmbio;Direção;Cor;Portas;Final de placa;Vidro elétrico;Air bag;Trava elétrica;Ar condicionado;Direção hidráulica;Alarme;Som;Sensor de ré;CEP;City;Neighborhood;Link;Câmera de ré;Blindado
Hb20 1.0 Confort Style 2016. Carro muito novo. Segundo dono;963034099;Hb20 1.0 Confort Style 2016. Carro muito novo. Segundo dono. Revisado. Carro com todos os manuais e chave reserva original de fábrica. Contato (82) 9994... ver número DAVID.  OBS:  LICENCIAMENTO E TODA A DOCUMENTAÇÃO EM DIAS. Direção elétrica Retrovisores automáticos Ar condicionado  Seta no retrovisor Sensor de ré Vidros elétricos Airbag laterais Computador de bordo Todos os manuais do fabricante Chave reserva ;03/12;07:58;professional;46300;Carros, vans e utilitários;HYUNDAI HB20 COMFORT STYLE 1.0 TB FLEX 12V MEC.;HYUNDAI;Hatch;2016;93000;1.0;Flex;Manual;Elétrica;Prata;4 portas;8;yes;yes;yes;yes;yes;yes;yes;yes;57603298;Palmeira dos Índios;Juca Sampaio;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-confort-style-2016-carro-muito-novo-segundo-dono-963034099;;
Fiat 500 Impecável!;934416873;Direção elétrica Vidro Trava Alarme Roda de liga leve Carro super completo! SUPER ECONÔMICO  Aceito trocas em outros veículos, Financiamentos Cartões até 18 x acréscimo da maquineta;03/12;07:53;amateur;31900;Carros, vans e utilitários;FIAT 500 CULT 1.4 FLEX 8V EVO MEC.;FIAT;Hatch;2012;94000;1.4;Flex;Manual;Elétrica;Prata;2 portas;2;yes;yes;yes;yes;yes;yes;yes;yes;57045000;Maceió;Barro Duro;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-500-impecavel-934416873;;
FIAT IDEA COMPLETO ;964657957;Vendo Fiat idea 2013, completo!  ;03/12;07:46;amateur;30000;Carros, vans e utilitários;FIAT IDEA ATTRACTIVE 1.4 FIRE FLEX 8V 5P;FIAT;SUV;2013;118000;1.4;Flex;Manual;Hidráulica;Vermelho;4 portas;4;yes;yes;yes;yes;yes;yes;yes;yes;57035200;Maceió;Ponta Verde;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-idea-completo-964657957;;
HILUX SRX 2017/2017 DIESEL AUTOMÁTICA ;964063983;Carro extra  Funciona tudo  Muito nova  Chave cópia  82 9870... ver número Wathsapp ;03/12;07:44;professional;205000;Carros, vans e utilitários;TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.;TOYOTA;Pick-up;2017;110000;2.0 - 2.9;Diesel;Automático;Hidráulica;Preto;4 portas;;yes;yes;yes;yes;yes;yes;yes;yes;57100000;Rio Largo;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hilux-srx-2017-2017-diesel-automatica-964063983;yes;
Vende-se urgente;964656792;Chevette 91 tem que ajeitar o alternador bateria nova 4 pneus meia vida em dias documento na mão para vender logo 1800;03/12;07:37;amateur;1800;Carros, vans e utilitários;GM - CHEVROLET CHEVETTE L / SL / SL/E / DL / SE 1.6;GM - CHEVROLET;;1991;665856988;;;Manual;;Verde;2 portas;;;;;;;;;;57100000;Rio Largo;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vende-se-urgente-964656792;;
Repasse de finaciamento ;964656734;Reposso onix lt 2013 ;03/12;07:36;amateur;22000;Carros, vans e utilitários;GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.;GM - CHEVROLET;Hatch;2013;96000;1.0;Flex;Manual;Hidráulica;Preto;4 portas;4;yes;yes;yes;yes;yes;yes;yes;yes;57075401;Maceió;Santos Dumont;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/repasse-de-finaciamento-964656734;yes;
Jeep Compass Flex;964655730;Compass 2019 com apenas 16.000 rodados. Falar com Marcelo (82) 9998... ver número;03/12;07:29;amateur;125000;Carros, vans e utilitários;JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.;JEEP;;2019;16000;;Flex;Automático;;;;;;;;;;;;;57031530;Maceió;Mangabeiras;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-flex-964655730;;
Compass Limited flex único dono ;930473238;"Carro de luxo; todo original; versão completa com air bag de cortina e bancos de couro em caramelo. Carro nunca deu defeito. ";03/12;07:23;amateur;140000;Carros, vans e utilitários;JEEP COMPASS LIMITED 2.0 4X2 FLEX 16V AUT.;JEEP;SUV;2019;29500;;Flex;Automático;;;4 portas;8;yes;yes;yes;yes;yes;yes;yes;yes;57062280;Maceió;Petrópolis;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/compass-limited-flex-unico-dono-930473238;yes;
Ford ka class completo (OPORTUNIDADE) Vendo,,,troco por motos ;964654760;O MAIS TOP DA CATEGORIA   # Direção hidráulica  # Ar condicionado  # Vidro elétrico (sobe e desce no controle) # Pisca nos retrovisores  # Trava elétrica  # Mala elétrica # Chave canivete # Alarme  # Sensor de ré  # Câmera de ré  # Tv + DVD  # Limpador traseiro   Quitado e emplacado  Sem pendências  Pronto p transferir   Aceito motos Honda  Cartão de crédito  Financio por todos os bancos   Valor da tabela fipe R$ 21.248,00  Preço de vender R$ 18.500  WhatsApp 9.9940.1386;03/12;07:21;amateur;18500;Carros, vans e utilitários;FORD KA;FORD;;2012;64000;1.0;Flex;Manual;Hidráulica;Preto;2 portas;;yes;;yes;yes;yes;yes;yes;yes;57081000;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-class-completo-oportunidade-vendo-troco-por-motos-964654760;yes;
venda;964654556;gol 95 bom de motor e caixa e suspensão, documentos todo certinho ;03/12;07:19;amateur;5800;Carros, vans e utilitários;VW - VOLKSWAGEN GOL 1.0 PLUS 8V 2P;VW - VOLKSWAGEN;Hatch;1995;245000;1.0;Gasolina;Manual;Mecânica;Outra;2 portas;;;;;;;;;;57086154;Maceió;Benedito Bentes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/venda-964654556;;
