Title;ID;Description;Date;Hour;Class;Price;Categoria;Modelo;Marca;Ano;Quilometragem;Potência do motor;Combustível;Câmbio;Direção;Cor;Portas;Vidro elétrico;Air bag;Trava elétrica;Ar condicionado;Alarme;Som;Câmera de ré;CEP;City;Neighborhood;Link;Tipo de veículo;Final de placa;Direção hidráulica;Sensor de ré
Hrv Exl Unico Dono - Pneus novos -Excelente Estado-90 Dias Garantia;952509540;PersonalCarMcz -Foco na Qualidade ESTADO DO CARRO: - Sem mossas, sem arranhões. - Sem ruídos internos, sem barulhos de suspensão. - Pneus 70% novos. - Bancos em curo bem conservados. - Livreto manual e chave reserva.  Opcionais: AUTOMÁTICO CVT BANCOS EM COURO DE FÁBRICA CAMERA DE RÉ HD CENTRAL MULTIMIDEA RODAS EM LIGA LEVE DE ORINAL DE FÁBRICA FAROIS DE NEBLINA RETROVISORES ELÉTRICOS COM REBATIMENTO TRAVAS ELÉTRICAS AR CONDICIONADO DIGITAL DIREÇÃO ELÉTRICA VIDROS ELÉTRICOS NAS 4P COMANDOS NO VOLANTE EM COURO ALETAS P/ TROCA DE MARCHAS NO VOLANTE ALARME AIR BAG + ABS  PersonalCarMcz - Financiamento em até 60x (Bv, Santander e Panamericano) - Recebemos carta de crédito contemplada - Parcelamento no cartão em em até 12x (+taxa da administradora) - Desconfie de ofertas muito baratas - Venha conhecer o carro e conferir a documentação em nossa loja física.           PersonalCarMcz - 14 anos, seminovos diferenciados, Foco na qualidade.;07/12;20:26;professional;87900;Carros, vans e utilitários;HONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.;HONDA;2016;58000;1.8;Flex;Automático;Elétrica;Cinza;4 portas;yes;yes;yes;yes;yes;yes;yes;57035700;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hrv-exl-unico-dono-pneus-novos-excelente-estado-90-dias-garantia-952509540;;;;
GM MONTANA ANO 2010 CONQUEST /// VALOR 24.800;966304413;ACEITAMOS MOTO COMO BASE DE TROCA  ACEITAMOS CARTÃO DE CRÉDITO  CARRO BASTANTE COMSERVADO POR ANO DELA  CARRO IDEAL PARA QUEM QUER TRABALHAR  EMPLACADO 2021 ,SEM DÍVIDAS PENDENTE  DÚVIDAS E INFORMAÇÃO 9969... ver número Gustavo ;07/12;20:24;amateur;24800;Carros, vans e utilitários;GM - CHEVROLET MONTANA 1.8/ 1.8 CONQUEST FLEXPOWER 8V;GM - CHEVROLET;2010;150000;1.8;Flex;Manual;Hidráulica;Prata;2 portas;yes;yes;yes;yes;yes;;;57010780;Maceió;Trapiche da Barra;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gm-montana-ano-2010-conquest--valor-24-800-966304413;Pick-up;0;yes;
HB20 2020 C/ Apenas 3.000 km $59.000,;945875012;Hb20 2020 1.0 completo  Retrovisores e Maçanetas na cor do carro  Chave canivete  Carro com apenas 3.000 km rodados  Estado de 0km  Ok Zap 99933.9966;07/12;20:18;amateur;59000;Carros, vans e utilitários;HYUNDAI HB20 SENSE 1.0 12V FLEX MEC.;HYUNDAI;2020;3000;1.0;Flex;Manual;Elétrica;Preto;4 portas;yes;yes;yes;yes;yes;yes;;57036540;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/hb20-2020-c-apenas-3-000-km-59-000-945875012;Hatch;2;;yes
VENDO HB20 2013, PRATA;966301607;VENDO HB20 confort, 1.0, 2013 Banco de couro  Trava e vidro nas 4 portas Manual Muito bem conservado Manutenção em dia. *Aceito troca em Honda Civic do 2014 ao 2016, pagarei a diferença * Aceito proposta, dispenso marreteiro.  É só comprar e andar.  Falar só se tiver interesse Valor: 27.900  Não repondo chat, fone 8298... ver número;07/12;20:14;amateur;37900;Carros, vans e utilitários;HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V;HYUNDAI;2013;109;1.0;Flex;Manual;Hidráulica;Prata;4 portas;yes;yes;yes;yes;yes;yes;;57048710;Maceió;Antares;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-hb20-2013-prata-966301607;Hatch;2;yes;
Audi a3 turbo 150 vc ;966301393;Vendo audi a3 turbo 150 cv originais MANUAL   Carro filé todo íntegro com alguns detalhes a serem feito mais para o ano do carro tá filé  Trocado turbina botado a original zera tem 1mes e meio  Interna filé som original com sub original  Carro super conservado  Detalhes de transferência a serem resolvidas com o comprador mas explico no direct  ;07/12;20:13;amateur;22000;Carros, vans e utilitários;AUDI A3 1.8 TURBO 5P MEC.;AUDI;2006;165000;1.8;Gasolina;Manual;Hidráulica;Prata;;yes;yes;yes;yes;yes;yes;;57086478;Maceió;Benedito Bentes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/audi-a3-turbo-150-vc-966301393;Hatch;;yes;
CR-V LX 2.0 16V AT 2WD  2012/2012;965029012;"* Ar-condicionado * Direção elétrica assistida * Vidros elétricos * Travamento central das portas * Alarme antifurto perimétrico * Câmbio automático * Controle automático de velocidade * Faróis c/ acendimento automático * Retrovisores rebatíveis eletricamente * Rodas de liga leve R17"" * Freios ABS * Airbags frontais * Faróis c/ refletores duplos * Câmera traseira para manobras * Banco traseiro rebatível e bipartido * Computador de bordo * Volante multifuncional * Apoio de braço motorista * Ajuste volante c/ profundidade * Som com rádio,CD e conexão USB * Pneus 225/65 * Porta malas 589L        André Rodrigo     (82)9997... ver número";07/12;20:12;amateur;69900;Carros, vans e utilitários;HONDA CR-V LX 2.0 16V 2WD/2.0 FLEXONE AUT.;HONDA;2012;111480;2.0 - 2.9;Gasolina;Automático;Elétrica;Preto;4 portas;yes;yes;yes;yes;yes;yes;yes;57055000;Maceió;Farol;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/cr-v-lx-2-0-16v-at-2wd-2012-2012-965029012;SUV;3;yes;
VENDO HONDA CIVIC EXL 2019 COM APENAS 14.000 RODADOS ;964022575;Honda Civic 2.0 EXL COM APENAS 14.000 KM RODADOS. ESTADO DE 0KM. NÃO ACEITO TROCAS!;07/12;20:11;amateur;125000;Carros, vans e utilitários;HONDA CIVIC SEDAN EXL 2.0 FLEX 16V AUT.4P;HONDA;2019;14000;2.0 - 2.9;Flex;Automático;Elétrica;Branco;4 portas;yes;yes;yes;yes;yes;yes;yes;57080549;Maceió;Jardim Petrópolis;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-honda-civic-exl-2019-com-apenas-14-000-rodados-964022575;Sedã;7;yes;yes
Corolla GLI;966299864;Corolla GLI 1.8 AT.  ? 2017/2017 ?câmbio automático  ?sensor de ré  ? câmera de ré  ?chave canivete  ?manual  ?chave reserva  ?bancos de tecido  ? emplacado 2021 ? 2º dono ?revisão em dias  ?pneus com 3 meses de uso  ?56.000 km;07/12;20:10;amateur;80000;Carros, vans e utilitários;TOYOTA COROLLA GLI 1.8 FLEX 16V  AUT.;TOYOTA;2017;56000;1.8;Flex;Automático;Hidráulica;Outra;4 portas;yes;yes;yes;yes;yes;yes;yes;57300190;Arapiraca;Centro;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-966299864;Sedã;1;yes;yes
Versa SV 1.6 2017;964007098;Vendo, Troco e financiou. (OBS) Só troco pôr carro. Carro conservado, único dono, completo com vidro elétrico nas 4 portas, retrovisor elétrico, roda de liga leve, computador de bordo, volante reclinável, mala elétrica...  9992... ver número(ZAP);07/12;20:09;amateur;52000;Carros, vans e utilitários;NISSAN VERSA SV 1.6 16V FLEX FUEL 4P MEC.;NISSAN;2017;44000;1.6;Flex;Manual;Elétrica;Cinza;4 portas;yes;yes;yes;yes;yes;yes;;57014140;Maceió;Ponta Grossa;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/versa-sv-1-6-2017-964007098;Sedã;8;yes;yes
Corsa Classic 2015;966297899;Vendo Classica super conservado, fabricação 2014, modelo 2015. Manutenção sempre em dia.;07/12;20:06;amateur;31000;Carros, vans e utilitários;GM - CHEVROLET CORSA SED CLASS.SPIRIT 1.0/1.0 FLEXPOWER;GM - CHEVROLET;2015;75000000;1.0;Flex;Manual;Hidráulica;Cinza;4 portas;yes;yes;yes;yes;yes;yes;;57052483;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-2015-966297899;Sedã;7;yes;
FIAT ARGO 2019/2020 1.0 FIREFLY FLEX DRIVE MANUAL;920516038;Veículo: FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL Ano: 2019... ver número Cor: Cinza  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Desembaçador traseiro, Limpador traseiro, Rádio, Encosto de cabeça traseiro, Volante com Regulagem de Altura, Sensor de estacionamento, Banco do motorista com ajuste de altura, Computador de bordo, GPS  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;07/12;20:04;professional;60290;Carros, vans e utilitários;FIAT ARGO;FIAT;2020;65415;;Flex;Manual;;;4 portas;yes;;yes;yes;yes;;;57061000;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2019-2020-1-0-firefly-flex-drive-manual-920516038;Passeio;0;;
CHEVROLET JOY 2019/2020 1.0 SPE4 FLEX MANUAL;865650790;Veículo: CHEVROLET JOY 1.0 SPE4 FLEX MANUAL Ano: 2019... ver número Cor: Cinza  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Freio ABS, Desembaçador traseiro, Rádio, Sensor de estacionamento  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;07/12;20:04;professional;57390;Carros, vans e utilitários;GM - CHEVROLET JOY HATCH 1.0 8V FLEX 5P MEC;GM - CHEVROLET;2020;39883;;Flex;Manual;;;4 portas;yes;;yes;yes;yes;;;57061000;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-joy-2019-2020-1-0-spe4-flex-manual-865650790;Passeio;9;;
Duster Dynamique;966296604;Duster Dynamique 1.6 Completa e com acessórios Central Multimídia Controle de Estabilidade e tração. Modo Eco Piloto Automático Bancos com capa de couro Estribos laterais Alargador de Paralamas Tapete plástico no porta molas;07/12;20:03;amateur;89900;Carros, vans e utilitários;RENAULT DUSTER DYNAMIQUE 1.6 FLEX 16V AUT.;RENAULT;2019;70000;1.6;Flex;Automático;Hidráulica;Prata;4 portas;yes;yes;yes;yes;yes;yes;yes;57480000;Delmiro Gouveia;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/duster-dynamique-966296604;SUV;7;yes;yes
Honda civic ;966296585;Carro todo certinho só pega e transferir funcionando perfeitamente bancos de couro  Obs: carro e do meu pai qualquer coisa WhatsApp ou ligação 9881... ver número ;07/12;20:03;amateur;18000;Carros, vans e utilitários;HONDA CIVIC SEDAN EX 1.7 16V 130CV MEC. 4P;HONDA;2001;189000;1.7;Gasolina;Manual;Hidráulica;Outra;4 portas;yes;;yes;yes;yes;yes;;57071041;Maceió;Clima Bom;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-966296585;Sedã;2;yes;
Chevrolet classic 2008/1.0 completo;966295065;Ar, alarme, direção hidráulica, trava elétrica, vidro elétrico, 9-8893... ver número;07/12;20:00;professional;14800;Carros, vans e utilitários;GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P;GM - CHEVROLET;2008;0;1.0;Flex;Manual;Hidráulica;Prata;4 portas;yes;;yes;yes;yes;yes;;57014140;Maceió;Ponta Grossa;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-classic-2008-1-0-completo-966295065;Sedã;6;yes;
Celta bem conservado;966292564;Carro extra, o mais conservadoda região. Troco por cb twister;07/12;19:57;amateur;14000;Carros, vans e utilitários;GM - CHEVROLET CELTA 1.0/SUPER/N.PIQ.1.0 MPFI VHC 8V 3P;GM - CHEVROLET;2002;182000;1.0;Gasolina;Manual;Mecânica;Prata;2 portas;yes;;yes;;yes;;;57325000;Coité do Nóia;;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/celta-bem-conservado-966292564;Hatch;2;;
Prisma LT 2019/2019 EXTRA;944942652;Procedência total  Rodas  Mylink  Comando de som  Carro extra  82 9887... ver número whatsapp;07/12;19:56;professional;62990;Carros, vans e utilitários;GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P;GM - CHEVROLET;2019;61000;1.4;Flex;Manual;Elétrica;Branco;4 portas;yes;yes;yes;yes;yes;yes;;57042340;Maceió;Feitosa;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/prisma-lt-2019-2019-extra-944942652;Sedã;2;yes;yes
Gol 2014 Trendline 1.0;964198016;EQUILIBRIO VEICULOS. instagram: @equilibrio_veiculos números para contato:  (82) 3202... ver número  (82) 9933... ver número  (82) 9933... ver número  (82) 9944... ver número  Observação:Ficou interessado? Entre em contato para mais informações!;07/12;19:55;professional;35000;Carros, vans e utilitários;VW - VOLKSWAGEN GOL TRENDLINE 1.0 T.FLEX 8V 5P;VW - VOLKSWAGEN;2015;11111;1.0;Flex;Manual;Hidráulica;Branco;4 portas;yes;yes;yes;yes;;yes;;57081285;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-2014-trendline-1-0-964198016;Hatch;9;yes;
Vendo outro em moto ZAP *;966292078;Festa 2000 com aro 17;07/12;19:54;amateur;9000;Carros, vans e utilitários;FORD FIESTA GL CLASS 1.0I 5P;FORD;2000;123;1.0;Gasolina;Manual;Hidráulica;Prata;4 portas;yes;;yes;yes;;;;57080125;Maceió;Canaã;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-outro-em-moto-zap-966292078;Hatch;2;yes;
Logan Authentique 1.0 2012 completo ( alagoanaveiculos );923559043;Renault Logan Authentique  1.0 2012 completo - com *direção hidráulica *ar condicionado *vidros elétricos *travas elétricas*alarme . carro muito bem conservado com manual e chave reserva, com garantia de motor e câmbio por 90 dias. confira essa e outras ofertas no carango, IG, face e Olx. (82)9962... ver número ou (82)3026... ver número;07/12;19:47;professional;23990;Carros, vans e utilitários;RENAULT LOGAN AUTHENTIQUE HI-FLEX 1.0 16V 4P;RENAULT;2012;164746;1.0;Flex;Manual;Hidráulica;Outra;4 portas;yes;;yes;yes;yes;yes;;57040600;Maceió;Jacintinho;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/logan-authentique-1-0-2012-completo-alagoanaveiculos-923559043;Sedã;8;yes;
Vendo peugeot 2010 1.4;966290330;Vendo troco por moto ou carro de menor valor aceito cartão de crédito carro 1.4 8v completo  com105 mil rodado contato 9883... ver número 9886... ver númerozap;07/12;19:47;amateur;12800;Carros, vans e utilitários;PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 3P;PEUGEOT;2010;105000;1.4;Flex;Manual;Hidráulica;Vermelho;2 portas;yes;;yes;yes;yes;;;57017000;Maceió;Levada;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-peugeot-2010-1-4-966290330;Passeio;6;yes;
Oportunidade sorento turbodiesel intercoolada vendo ou troco;955292019;Leia bem a discrição  Mecanica extremamente nova *Motor *Partida *Bateria de 100 amperes *Suspensão  Tudo zerado nao foi reparado foram botados novos Funciona tudo carro totalmente integro pneus novos multimidia com camera de ré (oleos, filtros, correias) novos enfim nada a fazer so pegar e rodar. Fazendo 14 km na estrada e 10 na cidade. Única dona 70 anos desde 0km tem as notas. Sou nora esse é o whats 9965... ver número Maristela carro se encontra em Sao Miguel dos Milagres próximo a Passo de Camaragibe, São Luis do Quitunde, Porto de Pedras e Porto Calvo não é carro bagunçado então nao venha com proposta absurda nem responderei. Estudo trocas;07/12;19:43;amateur;50000;Carros, vans e utilitários;KIA MOTORS SORENTO EX 2.5 140/170CV 4X4 AUT.DIESEL;KIA MOTORS;2007;179000;2.0 - 2.9;Diesel;Automático;Hidráulica;Prata;4 portas;yes;yes;yes;yes;yes;yes;yes;57025620;Maceió;Poço;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/oportunidade-sorento-turbodiesel-intercoolada-vendo-ou-troco-955292019;Passeio;8;yes;yes
