Title;ID;Description;Date;Hour;Class;Price;Categoria;Tipo;Condomínio;IPTU;Área útil;Quartos;Banheiros;Vagas na garagem;Detalhes do imóvel;Detalhes do condominio;CEP;Município;Bairro;Logradouro;Link
Locação Apartamento Sao Paulo Mirandópolis Ref: 15700;926214937;Código do anúncio: 1013-15700  Otimo apto com 2 quartos, proximo a estação Praça da Arvore Atualizado em;16/12;18:22;professional;2500;Apartamentos;Aluguel - apartamento padrão;R$ 850;R$ 240;60m²;2;2;1;Piscina;Piscina, Elevador;04048000;São Paulo;Mirandópolis;Rua das Rosas - até 319/320;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/locacao-apartamento-sao-paulo-mirandopolis-ref-15700-926214937
Apartamento para locação 110m2, 3 dorm, 1 Vagas - Vila Mariana;967056991;Código do anúncio: RF00074  Apartamento para aluguel com 110 metros quadrados com 3 quartos   O apartamento tem 3 amplos e iluminados quartos com armários, sendo uma suíte, 1 banheiro no corredor, 1 lavabo, sala ampla, arejada, cortinas com blecaute na sala e em 2 quartos.      Cozinha com armários embutidos, despensa com boas prateleiras, lavanderia com armário, ar condicionado na sala e no quarto de casal.      Está desocupado, com a locação iremos retirar os móveis. Se o inquilino tiver interesse, podemos deixar alguns móveis, a negociar.      Na parte da manhã, sol no quarto com suíte e segundo quarto, no período da tarde, no terceiro quarto (escritório) e sala.      Reformas elétricas e hidráulica recentes.      Muito bem localizado na Rua Tutóia, perto da Av. Brigadeiro Luiz Antônio, Paulista (Metrô Brigadeiro), Parque Ibirapuera, Clube Circulo Militar, Av. 23 de Maio, farmácia, Shopping Paulista e Cidade São Paulo, mercado, bancos e padaria na mesma rua.;16/12;18:12;professional;5900;Apartamentos;Aluguel - apartamento padrão;R$ 990;R$ 380;110m²;3;3;1;Mobiliado, Área de serviço, Ar condicionado, Armários embutidos, Armários na cozinha;Elevador, Portaria, Permitido animais, Condomínio fechado;04007000;São Paulo;Vila Mariana;Rua Tutóia - até 239/240;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/apartamento-para-locacao-110m2-3-dorm-1-vagas-vila-mariana-967056991
Apartamento residencial para Locação;967099731;Código do anúncio: AP01521  Excelente apartamento com 69m ampla sala para dois ambientes, dois dormitórios com o terceiro opcional, dois banheiros, cozinha com armários, área de serviço. O condomínio possui quadra poli esportiva, playground, salão de festas.   O Condomínio possui excelente localização, próximo a Estação de Metrô Saúde (dois minutos a pé do metrô), e ampla e variada rede de comércio com farmácias, mercados, rotisserie, cafeterias, etc. linha de transporte público na porta, além de fácil acesso a vias de ligação como a Av. Jabaquara, Rua Domingos de Morais, Av. dos Bandeirantes,;16/12;18:08;professional;2000;Apartamentos;Aluguel - apartamento padrão;R$ 480;R$ 168;69m²;2;2;;;Elevador;04046300;São Paulo;Mirandópolis;Avenida Jabaquara - de 1502 a 2000 - lado par;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/apartamento-residencial-para-locacao-967099731
Apartamento - Vila Mariana - 2 Dormitórios / Quartos - 1 Vaga - Locação / Aluguel / Locaçã;970091456;Código do anúncio: 3857-japa  Apartamento de 110 m², com 2 dormitórios com armários, sala ampla, 2 banheiros, cozinha com armário, área de serviço amplo, dependência de empregada e uma vaga na garagem. Condomínio com salão de festa e portaria 24 horas.   Imóvel na região do Paraíso, com localização privilegiada, fácil acesso para Av. Paulista, R. Cubatão e R. Domingos de Morais.   Resida próximo de comercio e conveniência, escolas, faculdades, parques, shopping, museus e alta gastronomia variada.   Agende uma visita com um de nossos corretores!;16/12;18:00;professional;3000;Apartamentos;Aluguel - apartamento padrão;R$ 860;R$ 130;110m²;2;2;1;;;04011030;São Paulo;Vila Mariana;Rua Eça de Queiroz - até 149/150;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/apartamento-vila-mariana-2-dormitorios-quartos-1-vaga-locacao-aluguel-locaca-970091456
São Paulo - Kitchenette/Conjugados - Vila Mariana;925889193;Código do anúncio: 129  ..;16/12;17:20;professional;1000;Apartamentos;Aluguel - apartamento padrão;R$ 300;R$ 100;20m²;1;1;0;;;04010200;São Paulo;Vila Mariana;Rua Domingos de Morais - de 1238 a 1860 - lado par;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-kitchenette-conjugados-vila-mariana-925889193
Belo apartamento com 100 m² a.u. 3 Dorm - 1 Vaga - R. Joel Jorge de Melo - Vila Mariana - ;938411425;Código do anúncio: AP5470  Nos chame no whatsapp 11 94838n 0410, para mais informações desse belo apartamento. 100 m² de área útil, sala ampla para 2 ambientes, cozinha com armários planejados. 3 dormitórios, com possibilidade de reversão no 2º dormitório. Banheiro social com box de vidros. Área de serviço. Banheiro de empregado e 1 vaga na garagem. Excelente localização, próximo ao metrô Santa Cruz, parque Modernista, Hospital Santa Cruz e Hospital São Paulo, shopping e terminal de ônibus Santa Cruz, Metrô Klabin, museu Lasar Segall e colégio Arquidiocesano. Agende uma visita direto pelo nosso WhatsApp. -;16/12;17:13;professional;2200;Apartamentos;Aluguel - apartamento padrão;R$ 1.415;R$ 356;100m²;3;2;1;Área de serviço;Elevador;04128080;São Paulo;Vila Mariana;Rua Joel Jorge de Melo - até 509/510;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/belo-apartamento-com-100-m-a-u-3-dorm-1-vaga-r-joel-jorge-de-melo-vila-mariana-938411425
Flat com 1 dormitório para alugar, 30 m² por R$ 2.000,00/mês - Vila Clementino - São Paulo;926928220;Código do anúncio: FL0017  Flat com 1 dormitório para alugar, 30 m² por R$ 2.000/mês - Vila Clementino - São Paulo/SP      - 1 vaga   - Internet   - tv acabo   - serviços de arrumação diária -;16/12;17:03;professional;2000;Apartamentos;Aluguel - apartamento padrão;R$ 1.450;R$ 200;30m²;1;1;1;;;04021051;São Paulo;Vila Clementino;Rua Sena Madureira - de 485 ao fim - lado ímpar;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/flat-com-1-dormitorio-para-alugar-30-m-por-r-2-000-00-mes-vila-clementino-sao-paulo-926928220
Lindo Apartamento com VARANDA Gourmet para aluguel - 183m² - 4 Dorms - 4 Vagas - Chácara K;919546814;Código do anúncio: Ed Giardino. C  Este lindo apartamento no Bairro Chácara Klabin possui 183 M², Varanda Gourmet, 4 Dormitórios sendo 2 Suítes e 4 Vagas de Garagem.   Características do Condomínio: Academia, Brinquedoteca, Piscina, Espaço para festas e eventos, Quadra gramada.   Elevador que garante o transporte das suas malas e compras.;16/12;16:42;professional;8500;Apartamentos;Aluguel - apartamento padrão;R$ 2.400;R$ 16.350;183m²;4;4;4;Salão de festas, Varanda, Piscina, Academia;Salão de festas, Piscina, Elevador, Academia, Condomínio fechado;04116260;São Paulo;Jardim Vila Mariana;Rua René Zamlutti;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/lindo-apartamento-com-varanda-gourmet-para-aluguel-183m-4-dorms-4-vagas-chacara-k-919546814
apartamento - Vila Mariana - São Paulo;928319585;Código do anúncio: AP002508  Apartamento para locação próximo ao Metrô Ana Rosa com 75m², 2 dormitórios, sala para 2 ambientes, varanda, 2 banheiros, cozinha e 1 vaga de garagem.   Consulte-nos para obter mais informações ou para agendar uma visita.   As informações divulgadas neste anúncio poderão sofrer inclusões, alterações e/ou atualizações sem aviso prévio. -;16/12;16:39;professional;2300;Apartamentos;Aluguel - apartamento padrão;R$ 780;R$ 160;75m²;2;2;1;;;04107022;São Paulo;Vila Mariana;Rua Paula Ney - de 601/602 ao fim;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/apartamento-vila-mariana-sao-paulo-928319585
Apartamento para venda possui 42 metros quadrados com 1 quarto em Vila Clementino - São Pa;920982526;Código do anúncio: 3993  Apto com 1 quarto, próximo ao Hospital São Paulo, Escola Paulista de Medicina, estação Santa Cruz do Metrô e Shopping Santa Cruz.;16/12;16:32;professional;1800;Apartamentos;Aluguel - apartamento padrão;R$ 517;R$ 82;42m²;1;1;0;Área de serviço, Armários na cozinha;;04042004;São Paulo;Vila Clementino;Avenida Doutor Altino Arantes - de 782 a 1100 - lado par;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/apartamento-para-venda-possui-42-metros-quadrados-com-1-quarto-em-vila-clementino-sao-pa-920982526
