Title;ID;Description;Date;Hour;Class;Price;Categoria;Tipo;Área útil;Quartos;Banheiros;Vagas na garagem;Detalhes do imóvel;Detalhes do condominio;CEP;Município;Bairro;Logradouro;Link;Área construída;Tamanho;Condomínio;Acomoda;Características;IPTU
90m² - 03 quartos, s/ 02stes, varanda, 02vgs. ;772593301;Vendo excelente Apartamento completo de armários, 90m² com 03 quartos, sendo 02 suites, sendo 01 reversível, sala dois ambientes, varanda, wc social, cozinha, área de serviço, quarto e wc de empregada, 02 vagas de garagens.  Lazer com piscina, playground, salão de festas, brinquedoteca, salão de jogos, espaço com máquinas de academia.  Ligue e agende sua visita  Tels. 8299... ver número / 8298... ver número;03/12;07:31;professional;400000;Apartamentos;Venda - apartamento padrão;90m²;3;2;2;Armários embutidos, Varanda, Área de serviço, Churrasqueira, Quarto de serviço, Armários na cozinha;Elevador, Portaria, Permitido animais, Academia, Piscina, Salão de festas;57035552;Maceió;Jatiúca;Rua Doutor Roland Simon;https://al.olx.com.br/alagoas/imoveis/90m-03-quartos-s-02stes-varanda-02vgs-772593301;;;;;;
Casa em Paripueira, 03quartos, s/ 01suite, piscina e churrasqueira.;903700303;Oportunidade!!! Vendo casa em paripueira, com 03 quartos, sendo 01 suíte, sala, wc social, coxinha americana, despensa, vagas para dois carros.  Área de lazer com piscina, churrasqueira e wc de apoio.  Ligue e agende uma visita:  Tels. 8299... ver número / 8298... ver número  @maceioimoveisoficial;03/12;07:31;professional;0;Casas;Venda - casa em rua pública;;3;2;2;Área de serviço;;57935000;Paripueira;;;https://al.olx.com.br/alagoas/imoveis/casa-em-paripueira-03quartos-s-01suite-piscina-e-churrasqueira-903700303;;;;;;
Lançamento Qto e sala e dois quartos, em 120meses;648419387;Conheça o mais novo lançamento da V2 Construções, Ed. Liv - Quarto/sala e dois quartos entre 39m² e 66m², um excelente empreendimento que junta Inovação, Designe e Praticidade com uma área de lazer espetacular com:   Piscina, Lounge Gourmet, fitness, Praça na Cobertura, Lavanderia, Bicicletário, Coworking e uma excelente recepção com serviço de Concierge.   O empreendimento será construído em uma área Próximo ao Bompreço da Ponta Verde, paralelo a Sandoval Arroxelas.  E o mais fantástico, parcele em 120meses.   Ligue e agende uma visita no apartamento decorado: (82)9999... ver número/(82)9886... ver número/(82)9999... ver número;03/12;07:29;professional;0;Apartamentos;Venda - apartamento padrão;39m²;1;1;1;Academia, Varanda, Piscina;Condomínio fechado, Elevador, Segurança 24h, Academia, Piscina, Salão de festas;57035400;Maceió;Ponta Verde;Avenida Professor Victal Barbosa;https://al.olx.com.br/alagoas/imoveis/lancamento-qto-e-sala-e-dois-quartos-em-120meses-648419387;;;;;;
Casa no condomínio De lá Roche (nova);891017443;Linda casa recém construída em um condomínio fantástico com excelente área de lazer, campo de Futebol, igreja, piscina, academia, salão de festa, venha morar no nesse paraíso! Recebo carro e parcelo em até 30x + sinal! ;03/12;07:29;amateur;850000;Casas;Venda - casa em condominio fechado;;3;4;3;Área de serviço, Churrasqueira, Varanda, Quarto de serviço;Condomínio fechado, Segurança 24h, Área murada, Portão eletrônico, Academia, Piscina;57302600;Arapiraca;Canafístula;Rua Rita Leão de Melo;https://al.olx.com.br/alagoas/imoveis/casa-no-condominio-de-la-roche-nova-891017443;212m²;;;;;
Flexeiras 12 hectares a 500 metros da BR, apenas 120 mil;964654704;Oportunidade, propriedade 12 hectares em Flexeiras a 500 metros da BR, boa de água apenas 120 mil . Rasec & Lopes  Negócios Imobiliário CRECI: 2619/AL Júlio Rasec (82)9884... ver número Izaias Lopes (82)9935... ver número;03/12;07:20;professional;120000;Terrenos, sítios e fazendas;Sítios e chácaras;;;;;;;57995000;Flexeiras;;;https://al.olx.com.br/alagoas/terrenos/flexeiras-12-hectares-a-500-metros-da-br-apenas-120-mil-964654704;;120000m²;;;;
Aluga-se Apartamento Residencial Village da Alvorada;964654299;Alugo apartamento Residencial Village da Alvorada, 2/4.  Apartamento recém reformado!  Contato: 82 9885... ver número;03/12;07:17;amateur;700;Apartamentos;Aluguel - apartamento padrão;;2;1;1;Área de serviço, Churrasqueira;Condomínio fechado, Segurança 24h, Portaria, Salão de festas;57000000;Maceió;;;https://al.olx.com.br/alagoas/imoveis/aluga-se-apartamento-residencial-village-da-alvorada-964654299;;;R$ 160;;;
Casa Sol&Mar Tabuba com piscina ;655119568;Casa localizada na Praia de Tabuba, com três quartos, varanda com redes, chuveirão,churrasqueira, área verde com coqueiros , garagem para 04 carros , à 200 mts da praia com bares, restaurantes ,estacionamento, ficando entre às cidades de Paripueira e Barra de Santo Antônio ,perto de farmácia ,mercadinho, padaria e posto de combustível .  Aluguel por temporada, com valores sob consulta.;03/12;07:11;amateur;None;Temporada;Casa;;3;;4;;;57052855;Maceió;Gruta de Lourdes;Rua Francisco Leão;https://al.olx.com.br/alagoas/temporada/casa-sol-mar-tabuba-com-piscina-655119568;;;;12;Permitido animais, Varanda/Terraço, Internet, Fogão, Ventilador, Piscina, Geladeira, Estacionamento, Churrasqueira;
Alugo ;964629699;Edf. Suely Mendes  R$ 4.700,00  Incluso Condomínio e IPTU  Coração da Ponta Verde Completo de armários Completo de móveis  Completo de eletrodomésticos Direto com o proprietário  100m2 3 quartos, sendo 1 suíte Sala de estar e jantar  Varanda  WC social Cozinha  Quarto de serviço WC serviço 2 Vagas de garagem soltas e cobertas  Salão de festas Área para crianças Portaria eletrônica;03/12;07:09;amateur;4700;Apartamentos;Aluguel - apartamento padrão;100m²;3;3;2;Área de serviço, Armários embutidos, Armários na cozinha, Mobiliado, Ar condicionado, Varanda, Quarto de serviço;Condomínio fechado, Elevador, Segurança 24h, Permitido animais, Salão de festas, Portaria;57035210;Maceió;Ponta Verde;Rua General João Saleiro Pitão;https://al.olx.com.br/alagoas/imoveis/alugo-964629699;;;R$ 600;;;R$ 200
Casa a venda;964651861;Vendo casa na feirinha do Tabuleiro perto do Colégio margarez e perto da feira para mais informações WhatsApp 9880... ver número ;03/12;07:05;amateur;100000;Casas;Venda - casa em rua pública;;2;1;0;;;57060600;Maceió;Tabuleiro do Martins;Rua Santa Catarina;https://al.olx.com.br/alagoas/imoveis/casa-a-venda-964651861;;;;;;
Vendo casa de esquina lado da sombra no Novo jardim- Eustaquio Gomes Módulo 1;952544951;Vendo uma excelente casa totalmente nascente e o melhor de esquina situado no residencial Novo Jardim, eustaquio Gomes. Módulo I Casa com 2 quartos, sala, cozinha, wc social,  área de serviço, varanda, garagem e quintal. Rua aberta e excelente localização para quem buscar uma moradia tranquilina ou até mesmo montar seu próprio negócio. Aceito financiamento! Não alugo e nem aceito troca. Agendamento direto com os corretores responsáveis: Ligue 9870... ver número  Claudia simplicio Creci 3895 Juliarde Lisboa Creci 5141;03/12;06:59;professional;125000;Casas;Venda - casa em rua pública;;2;1;2;Área de serviço, Varanda;;57000000;Maceió;;;https://al.olx.com.br/alagoas/imoveis/vendo-casa-de-esquina-lado-da-sombra-no-novo-jardim-eustaquio-gomes-modulo-1-952544951;126m²;;;;;
