Title;ID;Description;Date;Hour;Class;Price;CEP;Município;Bairro;Logradouro;Categoria;Tipo;Condomínio;IPTU;Área construída;Quartos;Banheiros;Vagas na garagem;Detalhes do imóvel;Detalhes do condomínio;Link;Área útil
Casa em condomínio fechado, Copan 190 m2 com 3 quartos em Barro Duro - Maceió Alagoas.;1081007236;Código do anúncio: 138  A casa está localizado no bairro Barro Duro com 190 metros quadrados, em condomínio fechado, em rua privativa, lado da sombra, com o jardim transformado em área de convivência, 2 vagas, saia de estar e jantar, com 3 quartos sendo 1 suite, banheiro social, são 2 cozinhas sendo uma interna e outra externa, gabinete externo, área de serviço, dependência completa e terraço interno. Pronta para morar.;26/03;22:08;professional;R$ 540000;57045068;Maceió;Barro Duro;Rua Professor Julião Marques;Casas;Padrão;R$ 0;R$ 0;190m²;3;3;2;Ar condicionado;Permitido animais;https://al.olx.com.br/alagoas/imoveis/casa-em-condominio-fechado-copan-190-m2-com-3-quartos-em-barro-duro-maceio-alagoas-1081007236;
Apartamento para venda com 122 metros quadrados com 3 quartos em Ponta Verde - Maceió - AL;1107029051;Código do anúncio: 1K9DQ3N  O apartamento no bairro Ponta Verde com 122 metros quadrados com 3 quartos sendo 3 suites e 4 banheiros Possui área de fitness, espaço gourmet, área de recreação infantil, salão de festas. Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes.Espaço reservado para preparar o seu churrasco. Elevador para mais praticidade no dia-a-dia. Encontra-se na privacidade de um condomínio fechado. É mobiliado.;26/03;22:07;professional;R$ 1250000;57035260;Maceió;Ponta Verde;Avenida Doutor José Sampaio Luz;Apartamentos;Padrão;R$ 1.050;R$ 0;;3;4;2;Academia, Ar condicionado, Área de serviço, Armários na cozinha, Armários no quarto, Churrasqueira, Mobiliado, Piscina, Varanda;Academia, Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas;https://al.olx.com.br/alagoas/imoveis/apartamento-para-venda-com-122-metros-quadrados-com-3-quartos-em-ponta-verde-maceio-al-1107029051;122m²
Apartamento com 4 quartos sendo 3 suítes na Ponta Verde;1146745266;"Código do anúncio: WM1153  Apartamento totalmente nascente na Ponta Verde com 144m2, são 4 quartos, sendo 3 suítes, 1 das suítes reversível com o banheiro social, sala de estar, sala de jantar, varanda, cozinha, lavanderia, dependência completa de empregada e 2 vagas de garagem soltas no pilotis (coberta e descoberta).  Móveis planejados em todos os ambientes; Iluminação; Cortinas.  Área de Lazer: Piscina; Salão de Festas.   Valor: R$1.milhão  Condomínio: R$800,00 com gás incluso.  Corretora Waleska Morelatto, Tel./WHATSAPP: , CRECI/AL 5470.";26/03;22:06;professional;R$ 1000000;57035110;Maceió;Ponta Verde;Rua José Freire Moura;Apartamentos;Padrão;R$ 800;R$ 0;;4;4;2;Piscina;Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas;https://al.olx.com.br/alagoas/imoveis/apartamento-com-4-quartos-sendo-3-suites-na-ponta-verde-1146745266;144m²
04 suítes [153m²] ÷ em 100 meses, 100m da Praia de Jatiúca;894182426;Código do anúncio: PI54561  EDF. CARAVAGGIO LANÇAMENTO Previsão de entrega: dezembro/2023  04 suítes [153m²] ÷ em 100 meses, 100m da Praia de Jatiúca  Localização: ======== Excelente localização na Av. Hamilton de Barros Soutinho, 2011 - Jatiúca. Próximo a Praias, Postos de combustível, Padarias, Colégios, Faculdades, Igrejas, Academias, Restaurantes, Supermercados, Farmácias, Bancos e Shoppings.  Forma de pagamento: ============== - Parcelado em 100 MESES direto Simulação 04 Suítes: Valor do imóvel a partir de R$ 1.724.500,00 negociado da seguinte forma: Sinal de R$ 258.680,00 16 intercaladas semestrais de R$ 26.945,31 100 parcelas mensais de R$ 8.622,45 Chaves de R$ 172.450,00  Estrutura: ======= Subsolo, Pilotis, 12 pavimentos tipo com 04 apartamentos por andar, pavimento cobertura com 02 coberturas gardens. Piscina adulto e infantil com deck Salão de festas com Espaço gourmet Espaço kids Fitness Espaço teen/sala de estudos Sala de jogos open Miniquadra esportiva Recepção com sistem de som ambiente, WIFI e circuito interno de TV Acesso por reconhecimento facial Aquecimento solar com apoio a gás Gestão dos níveis de água Tomadas individuais na garagem para veículos Cozinha com pontos de água quente Gerador full - 04 suítes sendo 01 suíte Master e 01 reversível, DCE completa, Sala Estar/Jantar, WC social, Varanda Gourmet, Cozinha, Área de serviço. 153,56 m² - 04 suítes sendo 01 suíte Master e 01 reversível, DCE completa, Sala Estar/Jantar, WC social, Varanda Gourmet, Cozinha, Área de serviço. 162,85 m² - 04 suítes sendo 01 suíte Master, DCE completa, Sala Estar/Jantar, WC social, Varanda Gourmet, Cozinha, Área de serviço. 179,44 m²  Vendas: ====== Fernando Galvão Consultor Imobiliário Contato: Tel.: ( 8 2 ) 9 8 8 0 5 7999 w w w . p a j u c a r a i m o v e i s . c o m . b r;26/03;22:06;professional;R$ 1724500;57035690;Maceió;Jatiúca;Avenida Hamilton de Barros Soutinho;Apartamentos;Padrão;R$ 0;R$ 0;;4;5 ou mais;;Academia, Área de serviço, Churrasqueira, Piscina, Quarto de serviço, Varanda;Academia, Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas;https://al.olx.com.br/alagoas/imoveis/04-suites-153m--em-100-meses-100m-da-praia-de-jatiuca-894182426;153m²
03 quartos [90m²], entrada ÷ 40 meses + financ. banco, 250m da praia de Jatiúca;920184106;Código do anúncio: PI13364  EDF. GIOR EM CONSTRUÇÃO Previsão de entrega: dezembro/2023  03 quartos [90m²], entrada ÷ 40 meses + financ. banco, 250m da praia de Jatiúca  Localização: ======== Excelente localização na Rua Hamilton de Barros Soltinho, 210 - Jatiúca. Próximo a Praias, Postos de combustível, Padarias, Colégios, Faculdades, Igrejas, Academias, Restaurantes, Supermercados, Farmácias, Bancos e Shoppings.  Forma de pagamento: ============== - Financiamento bancário Simulação 03 quartos 90m²: Valor do imóvel a partir de R$ 1.018.573,33 negociado da seguinte forma: Sinal de R$ 203.714,67 20 parcelas mensais de R$ 5.602,15 R$ 702.815,60 a ser financiado com o banco  Estrutura: ======= Subsolo, Pilotis, 02 Pavimentos Garagem, 07 Pavimentos tipo com 04 apartamentos por andar e 02 Pavimentos Tipo com 03 apartamentos por andar e Pavimento Cobertura com 02 apartamentos Piscina Car care Playground Salão de jogos Espaço de convivência Espaço grill Mini quadra Concierge Academia Espaço fitness Salão de festas gourmet Home office Coworking - 03 quartos sendo 01 suíte e 01 reversível, Sala de estar/jantar, Varanda, WC social, Cozinha e Área de serviço com WC. 90m² a 130m² - 04 suítes sendo 01 master, DCE completa, Sala de estar/jantar, Varanda Gourmet, Lavabo, Cozinha e Área de serviço. 166m² a 190m² - Cobertura 04 suítes, DCE completa, Elevador privativo, Sala de estar/jantar, Lavabo, Varanda gourmet integrada a piscina e chuveirão, Cozinha com copa e Área de serviço. 197m² - Cobertura duplex 4 suítes sendo 02 reversíveis, DCE completa, Elevador privativo, Lavabo, Sala de estar/jantar, Varanda gourmet integrada a piscina e chuveirão, Cozinha com copa e Área de serviço. 242m²  Vendas: ====== Fernando Galvão Consultor Imobiliário Contato: Tel.: ( 8 2 ) 9 8 8 0 5 7999 w w w . p a j u c a r a i m o v e i s . c o m . b r;26/03;22:06;professional;R$ 1018573;57035690;Maceió;Jatiúca;Avenida Hamilton de Barros Soutinho;Apartamentos;Padrão;R$ 0;R$ 0;;3;3;;Academia, Área de serviço, Churrasqueira, Piscina, Varanda;Academia, Condomínio fechado, Elevador, Permitido animais, Piscina, Portaria, Salão de festas;https://al.olx.com.br/alagoas/imoveis/03-quartos-90m-entrada-40-meses-financ-banco-250m-da-praia-de-jatiuca-920184106;90m²
Apartamento com 1 dormitório à venda, 42 m² por R$ 370.000,00 - Ponta Verde - Maceió/AL;1156766284;Código do anúncio: AP0585  . -;26/03;22:04;professional;R$ 370000;57035240;Maceió;Ponta Verde;Rua Deputado Eliseu Teixeira;Apartamentos;Padrão;R$ 420;R$ 0;;1;1;1;;;https://al.olx.com.br/alagoas/imoveis/apartamento-com-1-dormitorio-a-venda-42-m-por-r-370-000-00-ponta-verde-maceio-al-1156766284;42m²
Cobertura com 3 dormitórios à venda, 210 m² por R$ 1.700.000,00 - Jatiúca - Maceió/AL;1048177672;Código do anúncio: CO0020  . -;26/03;22:04;professional;R$ 1700000;57036450;Maceió;Jatiúca;Rua Carlos Gomes da Silva;Apartamentos;Cobertura;R$ 1.300;R$ 0;;3;5 ou mais;4;;;https://al.olx.com.br/alagoas/imoveis/cobertura-com-3-dormitorios-a-venda-210-m-por-r-1-700-000-00-jatiuca-maceio-al-1048177672;210m²
Apartamento com 3 dormitórios à venda, 79 m² por R$ 550.000,00 - Jatiúca - Maceió/AL;1046892162;Código do anúncio: AP0450  . -;26/03;22:04;professional;R$ 550000;57035556;Maceió;Jatiúca;Avenida Desembargador Valente de Lima - de 91/92 ao fim;Apartamentos;Padrão;R$ 604;R$ 0;;3;2;2;;;https://al.olx.com.br/alagoas/imoveis/apartamento-com-3-dormitorios-a-venda-79-m-por-r-550-000-00-jatiuca-maceio-al-1046892162;79m²
Apartamento com 3 quartos com Varanda Gourmert na Jatiuca *Pronto pra morar!;1072179177;Código do anúncio: 14A6KPD  Edificio Aquabali, apartamentos com VARANDA GOURMERT e 3 quartos, 1 suite, wc social, cozinha com area de serviço.  *Area de Lazer Completa com: *Salão de Festas *Espaço Fitness *Briquedoteca *Salão de Jogos *Piscina adulto e infantil.  Todos os apartamentos com direito a 2 Vagas.  *PRONTO PRA MORAR!  NA MELHOR LOCALIZAÇÃO DA JATIUCA AO LADO DO EMPRESARIAL THE SQUARE PARK OFFICE, OS MELHORES RESTAURANTES DA CIDADE, FARMACIAS, ESCOLAS E FACULDADES. TODA AREA DE LAZER ENTREGUE E EQUIPADA PELA CONSTRUORA.  A partir de R$560.000,00 aceito financiamento bancario  *MONTAMOS SEU PLANO DE PAGAMENTO, Consulte.  *Mais Informações, Folder e Formas de Pagamentos: *DEIXE SEU CONTATO NO CHAT OU LIGUE.  Pedro Germano  Consultor Imobiliário   (WhatsApp);26/03;22:04;professional;R$ 560000;57036330;Maceió;Jatiúca;Rua Vinícius de Moraes;Apartamentos;Venda - apartamento padrão;R$ 500;R$ 0;;3;2;2;;;https://al.olx.com.br/alagoas/imoveis/apartamento-com-3-quartos-com-varanda-gourmert-na-jatiuca-pronto-pra-morar-1072179177;80m²
O AP dos seus sonhos!!;1164293140;Lindo apartamento na Serraria com vista para área verde?  ? 45m2 ?  Andar alto ? Totalmente nascente  ? Reformado (todo no porcelanato) ? Projeto de iluminação em todos os ambientes  ? Móveis planejados em todos os ambientes  ? 01 vaga de garagem   ? Condomínio dispõe de piscina adulto e infantil, playground, 02 quadras poliesportivas, 02 áreas goumert, 02 salões de festas.   Valor R$ 240.000 (pode ser financiado)  Valor do condomínio R$ 412 (água e gás encanado)  Lívia Oliveira - 82 ... ver número  CRECI 6693;26/03;22:03;professional;R$ 245000;57046230;Maceió;Serraria;Loteamento Residencial Monte Verde;Apartamentos;Padrão;;;;2;1;1;;Condomínio fechado, Elevador, Portaria, Segurança 24h;https://al.olx.com.br/alagoas/imoveis/o-ap-dos-seus-sonhos-1164293140;45m²
