Title;ID;Description;Date;Hour;Class;Price;Categoria;Modelo;Marca;Ano;Quilometragem;Potência do motor;Combustível;Cor;CEP;City;Neighborhood;Link;Tipo de veículo;Câmbio;Direção;Portas;Final de placa;Vidro elétrico;Air bag;Trava elétrica;Ar condicionado;Direção hidráulica;Alarme;Som;Sensor de ré;Câmera de ré;Blindado
Carro gol G4 em ótimo estado de conservação ;932427673;Gol G4 ano 2012 módulo 2013 motor 1.0  4portas com ar condicionado e vidros elétricos emplacado até 2022 com manual de fábrica carro bastante conservado valor 23 mil .qualquer coisa fala com joabe 9886... ver número;16/09;21:28;amateur;23000;Carros, vans e utilitários;GM - CHEVROLET ;GM - CHEVROLET;2012;175000;1.0;Flex;Prata;57043520;Maceió;Feitosa;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/carro-gol-g4-em-otimo-estado-de-conservacao-932427673;;;;;;;;;;;;;;;
Fiat Mobi Evo Like 1.0 (Flex);923623495;Se você quer comprar um novo carro, precisa fazer isso com quem tem qualidade, procedência e entende do assunto. A Seminovos Movida conhece e cuida de seus veículos desde zero e é tanta confiança que damos 1 ano de garantia para todas as marcas e modelos. Aqui, você pode renovar a sua garagem com as melhores taxas e condições de pagamento e ainda avaliar o seu usado na troca. Isso sem contar as ofertas, que são as melhores do mercado. São mais de 70 lojas espalhadas por todo o Brasil. Acesse seminovosmovida.com.br, descubra qual a unidade mais próxima de você e venha nos visitar. IPVA pago,Licenciado Air bag motorista Air bag passageiro Ar condicionado Computador de bordo Direção hidráulica Distribuição eletrônica de frenagem Freio ABS Travas elétricas Vidros elétricos;16/09;21:27;professional;46450;Carros, vans e utilitários;FIAT MOBI LIKE 1.0 FIRE FLEX 5P.;FIAT;2020;39951;1.0;Flex;Branco;57052405;Maceió;Gruta de Lourdes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-evo-like-1-0-flex-923623495;Passeio;Manual;Hidráulica;4 portas;5;yes;yes;yes;yes;;;;;;
Gol g5 2010 ;932425730;Lindo gol G5 09/10 Ar condicionado gelando muito Direção hidráulica Motor top Vidro nas duas portas Emplacado 2021 Pegar e andar;16/09;21:22;amateur;21000;Carros, vans e utilitários;VW - VOLKSWAGEN GOL TRENDLINE 1.0 T.FLEX 8V 5P;VW - VOLKSWAGEN;2010;135000;1.0;Flex;Prata;57084787;Maceió;Benedito Bentes;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/gol-g5-2010-932425730;Hatch;Manual;Hidráulica;4 portas;7;yes;;yes;yes;yes;;;;;
JEEP RENEGADE SPORT 1.8 4X2 FLEX 2016;917490728;PARA MAIORES INFORMAÇÕES CONSULTE UM DE NOSSOS VENDEDORES: Gabriele Lins (82)9992... ver número Flávia (82)9996... ver número;16/09;21:20;professional;69990;Carros, vans e utilitários;JEEP RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.;JEEP;2016;74016;1.8;Flex;Vermelho;57062830;Maceió;Santo Amaro;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-sport-1-8-4x2-flex-2016-917490728;SUV;Automático;Elétrica;4 portas;2;yes;yes;yes;yes;;yes;yes;yes;;
POLO 2019/2020 1.0 MPI TOTAL FLEX MANUAL;876985515;Veículo: VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL Ano: 2019... ver número Cor: Prata  Informações complementares: Único Dono, IPVA PAGO, Licenciado  Outros opcionais: Volante com Regulagem de Altura, Direção Elétrica, Distribuição eletrônica de frenagem, MP3 Player  Observação:Se você está sonhando em trocar de carro, agora você está na direção certa! O seminovo mais novo do Brasil está na Localiza Seminovos, onde você encontra a maior variedade de modelos do mercado e muitas vantagens, como condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real, viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento!;16/09;21:16;professional;61490;Carros, vans e utilitários;VW - VOLKSWAGEN POLO GT 2.0 MI TOTAL FLEX 8V 5P;VW - VOLKSWAGEN;2020;46000;;Flex;;57061000;Maceió;Tabuleiro do Martins;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/polo-2019-2020-1-0-mpi-total-flex-manual-876985515;Passeio;Manual;;4 portas;4;;yes;;;;;;;;
Jeep Renegade Sport ;932422984;Multimidia com TV , Bluetooth,  GPS,  pen drive, câmera , controle remoto.  Rodas do longitude Veículo com baixo km Estado de Zero  Revisões feitas na Jeep  ;16/09;21:11;amateur;86000;Carros, vans e utilitários;JEEP RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.;JEEP;2018;20000;1.8;Flex;Branco;57050360;Maceió;Farol;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-sport-932422984;SUV;Automático;Elétrica;4 portas;3;yes;yes;yes;yes;yes;yes;yes;yes;yes;
Ecosport 1.6;932422388;Alguns pequenos serviços pra fazer. Sem multas, emplacado.  Valor negociável.  SOMENTE VENDA!;16/09;21:08;amateur;18000;Carros, vans e utilitários;FORD ECOSPORT XL 1.6/ 1.6 FLEX 8V 5P;FORD;2006;130000;1.6;Flex;Prata;57043435;Maceió;Feitosa;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ecosport-1-6-932422388;;Manual;Hidráulica;4 portas;;;;;;;;;;;
Clássic 2011 ;932421258;VENDO - TROCO - ACEITO CARTÃO  Corsa Classic, Ano 2011, Emplacado 2021, 4 pneus zero.  * Ar Condicionado * Direção Hidráulica * Trava   OBS: CARRO COM A PINTURA QUEIMADA  VALOR  R$: 13.800,00   CONTATO (82) 9963... ver número WHATSAPP  ;16/09;21:03;amateur;13800;Carros, vans e utilitários;GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P;GM - CHEVROLET;2011;170000;1.0;Flex;Preto;57042780;Maceió;Feitosa;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/classic-2011-932421258;Sedã;Manual;Hidráulica;4 portas;3;;;yes;yes;yes;;;;;yes
Sandero 2016 1.0 Authentique ;893463445;Carro extra bem conservado Carro possui  Vidros elétrico  Ar-condicionado  Trava elétrica  Alarme  Direção hidráulica  Air bag  ABS   Confira nosso estoque tambem no Instagram @renatoveiculos_mcz ou no whatsapp  (82)9962... ver número ou (82)9961... ver número RENATO VEÍCULOS  Estamos localizado na  Av. Comendador Gostava Paiva 4095 mangabeiras  tag de busca:  Camaro Captiva Celta Classic Cobalt Corsa Sedã Cruze Sport6 Malibu Meriva Montana Omega Onix Prisma S10 Sonic Spin Tracker Trailblazer Vectra GT Zafira Citroen Aircross C3 Picasso C4 Lounge Pallas Picasso C5 Tourer Rodas Orbital BBS Cross Trackfield Volcano Stratus Cachorro Gato Cama Mesa lhasa pedigree ração peixe aquário Brw Vr6 4 furos 5 furos aro 14 aro 15 aro 16 aro 17 aro 18 aro 19 aro 20 aro 21 aro 22 aro 24 DS3 DS5 Jumper Xsara Dodge dacota chalinger Fiat 500 Bravo 147 brava Doblo Cargo Ducato Fiorino Freemont Grand Siena Idea Linea uno Mille mile Palio Adventure Weekend Punto Siena Strada Ford Courier EcoSport Edge F-250 Fiesta Rocam Focus Fusion Ka + New Ranger Honda Accord CR-V City Civic Si Fit Hyundai Azera Equus HB20 HR Santa Fe Sonata Tucson Veloster Veracruz i30 CW iX35 Iveco Jac Motors J2 J3 Turin J5 J6 Jaguar F-Type Coupé XF XJ Supersport XKR Jeep Cherokee Grand Wrangler Kia Bongo Cadenza Sorento Soul choque Sportage Lifan X60 Maserati Ghibli Gran Cabrio Mercedes Benz CLA Classe A b c cl 250 Turbo Sport 63 AMG Touring CLS 63 AMG e g gl glk m s S 400 Hybrid SLK SLS AMG Mini Cooper Cabrio Countryman S Clubman-Hampton One Mitsubishi ASX L200 Outdoor Savana Triton Lancer Evolution X Outlander Pajero lander fazer honda bis hornet Full Sport TR4 Grand Livina March Sentra Tiida Versa Peugeot 207 SW 208 3008 307 308 CC 408 508 Boxer Hoggar Partner RCZ Porsche 911 Boxster Boxster S Cayenne Cayman S Macan Panamera Ram Subaru Forester Impreza Legacy Outback Tribeca Toyota Camry Corolla Etios Hilux Prius RAV4 SW4 Troller T4 Volkswagen Amarok Crossfox Fox Gol quadrado G2 G3 G4 G5 Golf máquina tênis trabalho escolar Jetta Variant smart motorola escapamento Polo Saveiro Space Cross Fox Tiguan Tuareg Up! Voyage Brasilia TL Volvo C30 S60 V40 XC60 XC90 ferrari galaxi landau LTD puma gtb gte opala omega 6 cilindros VOLKSWAGEN FIAT FORD relógio som mesa vidro xbox one kit placa raça dvd dinheiro HYUNDAI TOYOTA HONDA MITSUBISHI PEUGEOT RENAULT AUDI BMW CHERY CITROEN DODGE JAC JEEP KIA LAND ROVER MERCEDES-BENZ NISSAN SMART SUBARU SSANGYONG COMPRAR FINANCIAMENTO SEGURO CONCESSIONARIA LOJA AUTO SHOPPING GLOBAL SHOPPING AUTOMOTIVO AGILE ASTRA CONVERSÍVEL UTILITÁRIO S10 TRACKER VECTRA ZAFIRA 500 BRAVO DOBLO FIORINO FREEMONT IDEA LINEA PALIO PUNTO SIENA STILO STRADA UNO ECOSPORT COURIER FIESTA FLEX GASOLINA ALCOOL FOCUS FUSION KA NEW POWER SHIFT RANGER CITY CIVIC CRV FIT AZERA ELANTRA HB20 I30 IX35 SANTA FÉ SONATA TUCSON VERA CRUZ VELOSTER LANCER L200 PAJERO 206 207 307 SW HOGGAR CLIO cb 300 honda DUSTER FLUENCE KANGOO LOGAN hp luz MEGANESANDERO SCENIC COROLLA ETIOS FIELDER HILUX AMAROK BORA CROSSFOX FOX FUSCA GOL GOLF JETTA PARATI POLO SAVEIRO SPACEFOX TIGUAN VOYAGE G4 G5 G6 TREND MI 1.6 1.0 1.4 1.8 2.0 2.4 3.0 V6 A3 A4 A6 120I 125I 130I 320I 300C PT CRUISER AIRCROSS C3 C4 PICASSO XSARA RAM JOURNEY CHEROKEE COMMANDER CERATO PICANTO SORENTO SOUL SPORTAGE FREELANDER EVOQUE CLASSE A FORTWO ACTYON KYRON IMPREZA GRAND VITARA T4 ROCAM MPI CLASS MANUAL AUTOMÁTICO CÂMBIO FIRE CELEBRATION ECONOMY COMPLETO VIVACE WAY SPORT 2 PORTAS 4 PORTAS FIPE SIMULAÇÃO CROMO PREÇO RARIDADE ANTIGO USADO NOVO PROMOÇÃO TOP DE LINHA DH TE VE AR AIRBAG ABS VENDE-SE VENDE ACEITA TROCA TROCO Ferrari Madza Lamborghini Maserati Limousine Rosa Preto Prata computador notebook casa memória DDR jogo play computador HD processador monitor câmera teclado mouse Samsung dell lg hp ultrabook notebook notebuk impressora  jogos ps2 ps3 ps4 Xbox 360 one sega Sony nintendo PS vita psp celular vídeo game Tablet galaxy ipad óculos Oakley Romeo juliet xx 24k invicta tag , monza,civic,kadett,gol,parati,corolla,ka,uno,escort,honda,palio,fiat,weekend,volkswagen,santana,ford,verona,apollo,logus,fiat tipo,hyundai,fiat tempra, hyundai,accent,fiat brava,fiat mareasedan volkswagen fiat ford hyundai toyota honda mitsubishi peugeot renault citroen kia mercedes-benz nissan smart subaru ssangyong subaru suzuki troller volvo trocas troco troca  agile astra conversível utilitário perua pick-up suv caminhonete prisma s10 tracker b zafira 500 on ka new power shift ranger city civic crv fit azera elantra hb20 i30 ix35 santa fé sonata tucson vera cruz veloster lancer l200 pajero 206 207 307 sw hoggar clio duster fluence kangoo logan meganesandero scenic corolla etios fielder hilux amarok bora crossfox fox fusca gol golf jetta parati polo saveiro spacefox tiguan voyage g4 g5 g6 trend mi 1.4 1.5 1.6 1.0 1.8 2.0 2.4 3.0 v6 a3 a4 a6 120i 125i der evoque classe a fortwo actyon kyron impreza grand vitara t4 rocam mpi class automático fire celebration economy completo vivace way sport captiva celta corsa classic meriva montana malibu onix palio punto vectra,ps4,xbox,atari,nes,pionner,sony,cameras,alarmes,piscina,moto g , iphone,apple,motorola,sony,acer,dvd,celular,drone,helicoptero,controle remoto,iphon  e6,iphone 5s,iphone 5c, galaxy 6,tablet,notebook,netbook,fone beats,casa,condominio,kit,studio,centro,apartamento,chacara,sitio,aluguel,aluga,vende,troca,com,divida,camaro,bking,strada,fazer,hornet,cb500,cb450,cb400,cb750,rd350,mercedes,galaxy 6,bateria,piano,teclado,vagas,cachorro,filhote,gato,papagaio,bola,new,york,adidas,nike,mizuno,são paulo,rio de janeiro,minas,gerais,praia,sol,piscina,roupa,inverno,verao,automotivo,capa,iluminação,led,s  ouro, brinco, cordão, corrente, colar, jóia, bracelete, gargantilha, pulseira, brinco, anel, aliança, iphone, corolla, som automotivo, iphone, corolla, civic, som, celular, samsung, motorolla, bike, notebook, ouro, cordão, relogio, pulseira, anel ;16/09;21:01;professional;38000;Carros, vans e utilitários;RENAULT SANDERO AUTHENTIQUE HI-FLEX 1.0 16V 5P;RENAULT;2016;70000;1.6;Flex;Prata;57036400;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/sandero-2016-1-0-authentique-893463445;Hatch;Manual;Hidráulica;4 portas;5;yes;yes;yes;yes;yes;yes;yes;;;
Idea Atractive 1.4 2013 completa ;918958536;*Não Respondo Chat  *Financio em até 48x  *Aceito cartão em até 12x  *Aceito troca por carro ou moto  *Garantia de 3 meses  Wats App (82) 9881... ver número Glaucio Ou ligar para Lula- (82) 9930... ver número Jc Veiculos ;16/09;20:59;professional;31000;Carros, vans e utilitários;FIAT IDEA ATTRACTIVE 1.4 FIRE FLEX 8V 5P;FIAT;2013;80000;1.4;Flex;Prata;57035700;Maceió;Jatiúca;https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/idea-atractive-1-4-2013-completa-918958536;Passeio;Manual;Hidráulica;4 portas;1;yes;yes;yes;yes;yes;yes;yes;;;
